"V1","V2"
"GAB","BUI"
"RWA","BUI"
"CHL","CAN"
"COL","CAN"
"COS","CAN"
"CZR","CAN"
"DEN","CAN"
"ECU","CAN"
"FRN","CAN"
"GMY","CAN"
"GRC","CAN"
"GUA","CAN"
"GUY","CAN"
"HAI","CAN"
"HON","CAN"
"HUN","CAN"
"ITA","CAN"
"JAM","CAN"
"MEX","CAN"
"NIC","CAN"
"NOR","CAN"
"NTH","CAN"
"PAN","CAN"
"PAR","CAN"
"PER","CAN"
"POL","CAN"
"POR","CAN"
"SAL","CAN"
"SPN","CAN"
"TUR","CAN"
"UKG","CAN"
"URU","CAN"
"USA","CAN"
"VEN","CAN"
"CEN","CAO"
"CHA","CAO"
"EQG","CAO"
"GAB","CAO"
"RWA","CAO"
"CHA","CEN"
"EQG","CEN"
"FRN","CEN"
"GAB","CEN"
"RWA","CEN"
"EQG","CHA"
"GAB","CHA"
"RWA","CHA"
"COL","CHL"
"COS","CHL"
"ECU","CHL"
"GUA","CHL"
"GUY","CHL"
"HAI","CHL"
"HON","CHL"
"JAM","CHL"
"MEX","CHL"
"NIC","CHL"
"PAN","CHL"
"PAR","CHL"
"PER","CHL"
"SAL","CHL"
"URU","CHL"
"USA","CHL"
"VEN","CHL"
"COS","COL"
"ECU","COL"
"GUA","COL"
"GUY","COL"
"HAI","COL"
"HON","COL"
"JAM","COL"
"MEX","COL"
"NIC","COL"
"PAN","COL"
"PAR","COL"
"PER","COL"
"SAL","COL"
"URU","COL"
"USA","COL"
"VEN","COL"
"DJI","COM"
"FRN","COM"
"IRQ","COM"
"JOR","COM"
"KUW","COM"
"LEB","COM"
"LIB","COM"
"MOR","COM"
"OMA","COM"
"QAT","COM"
"SAU","COM"
"SOM","COM"
"SUD","COM"
"SYR","COM"
"TUN","COM"
"YEM","COM"
"ECU","COS"
"GUA","COS"
"GUY","COS"
"HAI","COS"
"HON","COS"
"JAM","COS"
"MEX","COS"
"NIC","COS"
"PAN","COS"
"PAR","COS"
"PER","COS"
"SAL","COS"
"URU","COS"
"USA","COS"
"VEN","COS"
"DEN","CZR"
"FRN","CZR"
"GMY","CZR"
"GRC","CZR"
"HUN","CZR"
"ITA","CZR"
"NOR","CZR"
"NTH","CZR"
"POL","CZR"
"POR","CZR"
"SPN","CZR"
"TUR","CZR"
"UKG","CZR"
"USA","CZR"
"FRN","DEN"
"GMY","DEN"
"GRC","DEN"
"HUN","DEN"
"ITA","DEN"
"NOR","DEN"
"NTH","DEN"
"POL","DEN"
"POR","DEN"
"SPN","DEN"
"TUR","DEN"
"UKG","DEN"
"USA","DEN"
"FRN","DJI"
"IRQ","DJI"
"JOR","DJI"
"KUW","DJI"
"LEB","DJI"
"LIB","DJI"
"MOR","DJI"
"OMA","DJI"
"QAT","DJI"
"SAU","DJI"
"SOM","DJI"
"SUD","DJI"
"SYR","DJI"
"TUN","DJI"
"YEM","DJI"
"GUA","ECU"
"GUY","ECU"
"HAI","ECU"
"HON","ECU"
"JAM","ECU"
"MEX","ECU"
"NIC","ECU"
"PAN","ECU"
"PAR","ECU"
"PER","ECU"
"SAL","ECU"
"URU","ECU"
"USA","ECU"
"VEN","ECU"
"GAB","EQG"
"RWA","EQG"
"GAB","FRN"
"GMY","FRN"
"GRC","FRN"
"HUN","FRN"
"ITA","FRN"
"NOR","FRN"
"NTH","FRN"
"POL","FRN"
"POR","FRN"
"SEN","FRN"
"SPN","FRN"
"TUR","FRN"
"UKG","FRN"
"USA","FRN"
"RWA","GAB"
"GHA","GAM"
"GNB","GAM"
"GUI","GAM"
"CDI","GAM"
"LBR","GAM"
"MAA","GAM"
"NIG","GAM"
"NIR","GAM"
"SEN","GAM"
"SIE","GAM"
"TOG","GAM"
"GNB","GHA"
"GUI","GHA"
"CDI","GHA"
"LBR","GHA"
"MAA","GHA"
"NIG","GHA"
"NIR","GHA"
"SEN","GHA"
"SIE","GHA"
"TOG","GHA"
"GRC","GMY"
"HUN","GMY"
"ITA","GMY"
"NOR","GMY"
"NTH","GMY"
"POL","GMY"
"POR","GMY"
"SPN","GMY"
"TUR","GMY"
"UKG","GMY"
"USA","GMY"
"GUI","GNB"
"CDI","GNB"
"LBR","GNB"
"MAA","GNB"
"NIG","GNB"
"NIR","GNB"
"SEN","GNB"
"SIE","GNB"
"TOG","GNB"
"HUN","GRC"
"ITA","GRC"
"NOR","GRC"
"NTH","GRC"
"POL","GRC"
"POR","GRC"
"SPN","GRC"
"TUR","GRC"
"UKG","GRC"
"USA","GRC"
"KYR","GRG"
"KZK","GRG"
"RUS","GRG"
"TAJ","GRG"
"UZB","GRG"
"GUY","GUA"
"HAI","GUA"
"HON","GUA"
"JAM","GUA"
"MEX","GUA"
"NIC","GUA"
"PAN","GUA"
"PAR","GUA"
"PER","GUA"
"SAL","GUA"
"URU","GUA"
"USA","GUA"
"VEN","GUA"
"CDI","GUI"
"LBR","GUI"
"MAA","GUI"
"NIG","GUI"
"NIR","GUI"
"SEN","GUI"
"SIE","GUI"
"TOG","GUI"
"HAI","GUY"
"HON","GUY"
"JAM","GUY"
"MEX","GUY"
"NIC","GUY"
"PAN","GUY"
"PAR","GUY"
"PER","GUY"
"SAL","GUY"
"URU","GUY"
"USA","GUY"
"VEN","GUY"
"HON","HAI"
"JAM","HAI"
"MEX","HAI"
"NIC","HAI"
"PAN","HAI"
"PAR","HAI"
"PER","HAI"
"SAL","HAI"
"URU","HAI"
"USA","HAI"
"VEN","HAI"
"JAM","HON"
"MEX","HON"
"NIC","HON"
"PAN","HON"
"PAR","HON"
"PER","HON"
"SAL","HON"
"URU","HON"
"USA","HON"
"VEN","HON"
"ITA","HUN"
"NOR","HUN"
"NTH","HUN"
"POL","HUN"
"POR","HUN"
"SPN","HUN"
"TUR","HUN"
"UKG","HUN"
"USA","HUN"
"JOR","IRQ"
"KUW","IRQ"
"LEB","IRQ"
"LIB","IRQ"
"MOR","IRQ"
"OMA","IRQ"
"QAT","IRQ"
"SAU","IRQ"
"SOM","IRQ"
"SUD","IRQ"
"SYR","IRQ"
"TUN","IRQ"
"YEM","IRQ"
"NOR","ITA"
"NTH","ITA"
"POL","ITA"
"POR","ITA"
"SPN","ITA"
"TUR","ITA"
"UKG","ITA"
"USA","ITA"
"LBR","CDI"
"MAA","CDI"
"MLI","CDI"
"NIG","CDI"
"NIR","CDI"
"SEN","CDI"
"SIE","CDI"
"TOG","CDI"
"MEX","JAM"
"NIC","JAM"
"PAN","JAM"
"PAR","JAM"
"PER","JAM"
"SAL","JAM"
"URU","JAM"
"USA","JAM"
"VEN","JAM"
"KUW","JOR"
"LEB","JOR"
"LIB","JOR"
"MOR","JOR"
"OMA","JOR"
"QAT","JOR"
"SAU","JOR"
"SOM","JOR"
"SUD","JOR"
"SYR","JOR"
"TUN","JOR"
"YEM","JOR"
"USA","JPN"
"LEB","KUW"
"LIB","KUW"
"MOR","KUW"
"OMA","KUW"
"QAT","KUW"
"SAU","KUW"
"SOM","KUW"
"SUD","KUW"
"SYR","KUW"
"TUN","KUW"
"YEM","KUW"
"KZK","KYR"
"RUS","KYR"
"TAJ","KYR"
"UZB","KYR"
"RUS","KZK"
"TAJ","KZK"
"UZB","KZK"
"MAA","LBR"
"NIG","LBR"
"NIR","LBR"
"SEN","LBR"
"SIE","LBR"
"TOG","LBR"
"LIB","LEB"
"MOR","LEB"
"OMA","LEB"
"QAT","LEB"
"SAU","LEB"
"SOM","LEB"
"SUD","LEB"
"SYR","LEB"
"TUN","LEB"
"YEM","LEB"
"MAA","LIB"
"MOR","LIB"
"OMA","LIB"
"QAT","LIB"
"SAU","LIB"
"SOM","LIB"
"SUD","LIB"
"SYR","LIB"
"TUN","LIB"
"YEM","LIB"
"MLI","MAA"
"MOR","MAA"
"NIG","MAA"
"NIR","MAA"
"SEN","MAA"
"SIE","MAA"
"TOG","MAA"
"TUN","MAA"
"NIC","MEX"
"PAN","MEX"
"PAR","MEX"
"PER","MEX"
"SAL","MEX"
"URU","MEX"
"USA","MEX"
"VEN","MEX"
"NIR","MLI"
"SEN","MLI"
"TOG","MLI"
"OMA","MOR"
"QAT","MOR"
"SAU","MOR"
"SOM","MOR"
"SUD","MOR"
"SYR","MOR"
"TUN","MOR"
"YEM","MOR"
"ZIM","NAM"
"PAN","NIC"
"PAR","NIC"
"PER","NIC"
"SAL","NIC"
"URU","NIC"
"USA","NIC"
"VEN","NIC"
"NIR","NIG"
"SEN","NIG"
"SIE","NIG"
"TOG","NIG"
"SEN","NIR"
"SIE","NIR"
"TOG","NIR"
"NTH","NOR"
"POL","NOR"
"POR","NOR"
"SPN","NOR"
"TUR","NOR"
"UKG","NOR"
"USA","NOR"
"POL","NTH"
"POR","NTH"
"SPN","NTH"
"TUR","NTH"
"UKG","NTH"
"USA","NTH"
"QAT","OMA"
"SAU","OMA"
"SOM","OMA"
"SUD","OMA"
"SYR","OMA"
"TUN","OMA"
"YEM","OMA"
"USA","PAK"
"PAR","PAN"
"PER","PAN"
"SAL","PAN"
"URU","PAN"
"USA","PAN"
"VEN","PAN"
"PER","PAR"
"SAL","PAR"
"URU","PAR"
"USA","PAR"
"VEN","PAR"
"SAL","PER"
"URU","PER"
"USA","PER"
"VEN","PER"
"USA","PHI"
"POR","POL"
"SPN","POL"
"TUR","POL"
"UKG","POL"
"USA","POL"
"SPN","POR"
"TUR","POR"
"UKG","POR"
"USA","POR"
"SAU","QAT"
"SOM","QAT"
"SUD","QAT"
"SYR","QAT"
"TUN","QAT"
"YEM","QAT"
"TAJ","RUS"
"TKM","RUS"
"UZB","RUS"
"URU","SAL"
"USA","SAL"
"VEN","SAL"
"SOM","SAU"
"SUD","SAU"
"SYR","SAU"
"TUN","SAU"
"YEM","SAU"
"SIE","SEN"
"TOG","SEN"
"TOG","SIE"
"SUD","SOM"
"SYR","SOM"
"TUN","SOM"
"YEM","SOM"
"TUR","SPN"
"UKG","SPN"
"USA","SPN"
"SYR","SUD"
"TUN","SUD"
"YEM","SUD"
"TUN","SYR"
"YEM","SYR"
"UZB","TAJ"
"YEM","TUN"
"UKG","TUR"
"USA","TUR"
"USA","UKG"
"USA","URU"
"VEN","URU"
"VEN","USA"
